NS_position_y,warning.started,final.started,exp_trials_loop.ran,__participant,training_intro.stopped,NS_button_example.numClicks,intro_continue.keys,S_button_example.timesOff,study_id,NS_button_practice.timesOn,pre_quiz_key.rt,consent.started,exp_trials_loop.thisN,S_button_practice.timesOff,NS_button.timesOn,unique_item_no,key_resp_end_prac.rt,button_pos_warning.stopped,session,__session,pre_quiz.stopped,prac_feedback_loop.thisN,warning.stopped,answer,NS_button_example.timesOff,prac_feedback_loop.thisIndex,frameRate,ready_to_go.stopped,AC_button.numClicks,age_textbox.text,training_intro_key.rt,pre_quiz_key.keys,intro.stopped,S_button_practice.numClicks,S_button_example.numClicks,AC_button.timesOn,ready_spacebar.rt,pre_prac_key.keys,ready_spacebar.keys,__datetime,feedback,instruction,pre_practice.started,NS_button.timesOff,practice_trial_feedback.started,trials.started,participant,gender_slider.response,demographics.started,intro.started,trials.stopped,prac_feedback_loop.ran,NS_position_x,S_button.numClicks,consent.stopped,S_position_y,AC_button.timesOff,instruction_colour,S_position_x,psychopyVersion,OS,expName,pre_quiz.started,ready_to_go.started,exp_trials_loop.thisTrialN,stim_size_y,ready_spacebar_2.rt,training_intro.started,NS_button_practice.numClicks,image,image_path,stim_size_x,pre_practice.stopped,NS_button_practice.timesOff,training_intro_key.keys,prac_feedback_loop.thisTrialN,practice_trial_feedback.stopped,S_button_example.timesOn,S_button_practice.timesOn,S_button.timesOff,date,exp_trials_loop.thisIndex,prac_feedback_loop.thisRepN,S_button.timesOn,exp_trials_loop.thisRepN,type,demographics.stopped,button_pos_warning.started,pre_prac_key.rt,NS_button_example.timesOn,__experimentName,ready_spacebar_2.keys,intro_continue.rt,NS_button.numClicks,key_resp_end_prac.keys,number,final.stopped
﻿,,,,161563,,,space,,68766fd199ac5101833eeb20,,,,,,,,,,687671e2818b7ec977627768,001,,,,,,,59.952038369329664,,,,,,3.4110000000000014,,,,,,,2025-07-15_17h15.45.840,,,,,,,67d2f0a3fc7591bc603ac592,,,0,,,,,,,,,,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,,,,,,,,,,,,,,,,,2025-07-15_17h16.30.004,,,,,,,,,,ECG_X_EXP1_m1_JT,,2.3880000000000052,,,,
﻿,31.70600000000001,,,161563,,,,,68766fd199ac5101833eeb20,,,30.660000000000004,,,,,,,687671e2818b7ec977627768,001,,,38.25600000000001,,,,59.952038369329664,,,,,,,,,,,,,2025-07-15_17h15.45.840,,,,,,,67d2f0a3fc7591bc603ac592,,,,,,,,31.70600000000001,,,,,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,,,,,,,,,,,,,,,,,2025-07-15_17h16.30.004,,,,,,,,,,ECG_X_EXP1_m1_JT,,,,,,
﻿,,,,161563,,,,,68766fd199ac5101833eeb20,,,,,,,,,,687671e2818b7ec977627768,001,,,,,,,59.952038369329664,,,31,,,,,,,,,,2025-07-15_17h15.45.840,,,,,,,67d2f0a3fc7591bc603ac592,Male,38.258,,,,,,,,,,,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,,,,,,,,,,,,,,,,,2025-07-15_17h16.30.004,,,,,,47.177000000000014,,,,ECG_X_EXP1_m1_JT,,,,,,
﻿,,,,161563,53.17300000000001,,,,68766fd199ac5101833eeb20,,,,,,,,,,687671e2818b7ec977627768,001,,,,,,,59.952038369329664,,,,0.9450000000000074,,,,,,,,,2025-07-15_17h15.45.840,,,,,,,67d2f0a3fc7591bc603ac592,,,,,,,,,,,,,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,,,,47.177000000000014,,,,,,,space,,,,,,2025-07-15_17h16.30.004,,,,,,,,,,ECG_X_EXP1_m1_JT,,,,,,
﻿,,,,161563,,,,,68766fd199ac5101833eeb20,,,,,,,,,,687671e2818b7ec977627768,001,,,,,,,59.952038369329664,,,,,,,,,,,space,,2025-07-15_17h15.45.840,,,293.245,,,,67d2f0a3fc7591bc603ac592,,,,,,,,,,,,,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,,,,,,,,,327.71999999999997,,,,,,,,2025-07-15_17h16.30.004,,,,,,,,31.43199999999996,,ECG_X_EXP1_m1_JT,,,,,,
﻿,,,,161563,,,,,68766fd199ac5101833eeb20,[4.399999999999977],,,,[],,,5.584000000000003,,687671e2818b7ec977627768,001,,0,,,,0,59.952038369329664,,,,,,,0,,,,,,2025-07-15_17h15.45.840,"This image does not show signs of ST-elevation, as the ST-segment is not elevated above 0.1 mV.",Please look at the following ECG and decide if ST-elevation is present.,,,327.734,,67d2f0a3fc7591bc603ac592,,,,,1,,,,,,,,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,,0.801425662,,,1,exp_resources/practice_feedback_trials/practice_1_noST.png,,0.5,,[4.5090000000000146],,0,340.719,,[],,2025-07-15_17h16.30.004,,0,,,,,,,,ECG_X_EXP1_m1_JT,,,,space,1,
﻿,,,,161563,,,,,68766fd199ac5101833eeb20,[],,,,[1.8950000000000387],,,2.3040000000000305,,687671e2818b7ec977627768,001,,1,,,,1,59.952038369329664,,,,,,,1,,,,,,2025-07-15_17h15.45.840,"This image does not show signs of ST-elevation, as the ST-segment is not elevated above 0.1 mV.",Please look at the following ECG and decide if ST-elevation is present.,,,340.72499999999997,,67d2f0a3fc7591bc603ac592,,,,,1,,,,,,,,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,,0.801425662,,,0,exp_resources/practice_feedback_trials/practice_2_noST.png,,0.5,,[],,1,347.88599999999997,,[1.8480000000000132],,2025-07-15_17h16.30.004,,0,,,,,,,,ECG_X_EXP1_m1_JT,,,,space,2,
﻿,,,,161563,,,,,68766fd199ac5101833eeb20,[1.4370000000000118],,,,[],,,1.7510000000000332,,687671e2818b7ec977627768,001,,2,,,,2,59.952038369329664,,,,,,,0,,,,,,2025-07-15_17h15.45.840,"This image does show signs of ST-elevation, because the ST-segment is elevated at the J-point by at least 0.1 mV.",Please look at the following ECG and decide if ST-elevation is present.,,,347.894,,67d2f0a3fc7591bc603ac592,,,,,1,,,,,,,,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,,0.801425662,,,1,exp_resources/practice_feedback_trials/practice_3_ST.png,,0.5,,[1.5009999999999764],,2,354.087,,[],,2025-07-15_17h16.30.004,,0,,,,,,,,ECG_X_EXP1_m1_JT,,,,space,3,
﻿,,,,161563,,,,,68766fd199ac5101833eeb20,[0.9839999999999804],,,,[],,,1.0830000000000268,,687671e2818b7ec977627768,001,,3,,,,3,59.952038369329664,,,,,,,0,,,,,,2025-07-15_17h15.45.840,"This image does show signs of ST-elevation, because the ST-segment is elevated at the J-point by at least 0.1 mV.",Please look at the following ECG and decide if ST-elevation is present.,,,354.091,,67d2f0a3fc7591bc603ac592,,,,,1,,,,,,,,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,,0.801425662,,,1,exp_resources/practice_feedback_trials/practice_4_ST.png,,0.5,,[1.079999999999984],,3,359.162,,[],,2025-07-15_17h16.30.004,,0,,,,,,,,ECG_X_EXP1_m1_JT,,,,space,4,
﻿,,,,161563,,,,,68766fd199ac5101833eeb20,,1.969000000000051,,,,,,,,687671e2818b7ec977627768,001,362.152,,,,,,59.952038369329664,,,,,space,,,,,,,,2025-07-15_17h15.45.840,,,,,,,67d2f0a3fc7591bc603ac592,,,,,,,,,,,,,2024.2.4,Win32,ECG_X_EXP1_m1_JT,359.162,,,,,,,,,,,,,,,,,,2025-07-15_17h16.30.004,,,,,,,,,,ECG_X_EXP1_m1_JT,,,,,,
