participant,total_correct_AC,passed
5c50efd2cc71f4000125ce0d,0,FALSE
5dafea4de40355001651fa2f,0,FALSE
615838a2d65d6be56cc96091,0,FALSE
65e0c2e2e32784e64bf561d2,0,FALSE
65e389a05a2803a51872fc7d,0,FALSE
665dbfb693736239e14a8e9d,0,FALSE
66e2d762592d77ebfc8a48d3,4,FALSE
67307efa18110417bb86b8c6,0,FALSE
67ab09d75a55bde57f48754b,3,FALSE
67c1e6107f74721500733d42,0,FALSE
67d087899940d758f2380f3f,1,FALSE
67d19ce9b10a8d9327b9240d,0,FALSE
55ac3198fdf99b6de3b68b23,8,TRUE
5883a935c0c9a10001df6345,8,TRUE
595f5d26b752840001ca4451,8,TRUE
5ab15ab4c42b630001cd36fb,8,TRUE
5aff33bae55f90000139f664,8,TRUE
5b70d5cf48302c0001ba0771,8,TRUE
5c7aa97a6b5631001745891f,8,TRUE
5cc39aa64d7a7f0001817c43,8,TRUE
5e851959390e520ec806b09c,8,TRUE
5ea9dd2228c81413934f7d03,8,TRUE
5ecee03e0e92803029b7ad82,6,TRUE
5f06eefaf3fc742667b4e79d,8,TRUE
5f1e8dc7e2161c86cdcd220a,8,TRUE
5f4e97aae4fe380a7bad99c7,8,TRUE
601941db6605160008690742,7,TRUE
6053e01a6a8e8516ba7d47a7,8,TRUE
6081728972120aa7f9685791,8,TRUE
609eda349f5d29975fbc2145,8,TRUE
60bf964f35e4cada9f7f03cc,7,TRUE
60cd8f20c5f4c62e8b872e02,8,TRUE
6109656bb28bc0fadcad52ca,8,TRUE
616d5c54f2953f6447f27402,8,TRUE
62e023ae6d022e4d7bfc5db1,8,TRUE
647e27e47db9e4a980fc5291,8,TRUE
648646988a5170373da06a9e,8,TRUE
64e22a49c75e3fe980791cbe,8,TRUE
6548f1ac022275786186fef3,8,TRUE
6565e080bdcef69dfd887f74,8,TRUE
658058afd06d72b89e9f9529,8,TRUE
65956ab743aa1e8fe002ba3b,8,TRUE
65d2415ab02362df64e7d92d,7,TRUE
65fade256d70be4d6ea4ecaa,8,TRUE
65fae23bd06ae76bcc297e8b,7,TRUE
65fb13bebfa339f73b4cf76a,7,TRUE
66158689100c088c6ca9c9a0,8,TRUE
663378460f834e9670d1508c,8,TRUE
664b44d8a11f1bcbba9e0494,8,TRUE
664c8dd7baa052f7b1e88417,8,TRUE
665a9ddb536966183500a7b1,8,TRUE
6683a217cd77e4dd4c506f6c,7,TRUE
66967b12b71634533c3138ea,8,TRUE
66a79fce251c3b3fedb04d16,8,TRUE
66b5f192071088f94fa93e6e,7,TRUE
66bccd68d10079ae52e4873c,6,TRUE
66d5b779fc6befdda85afb80,8,TRUE
6710c4cf3a160f87690ff9e8,7,TRUE
672383a4299ffd0c4d4cf4ec,8,TRUE
672de648af50014c67c693db,8,TRUE
67360c2acfc18aae16622b36,8,TRUE
673c2a28a9dcb6065372da0b,6,TRUE
673ef66c5229b94eda308a4f,8,TRUE
67404aa99f6867814a2ca55b,8,TRUE
6759947ea59c3117b10c75ec,7,TRUE
675d8f110536784119d36e29,8,TRUE
676405aa4c4352262f0c9101,6,TRUE
676572cb37fd7bc2394e36e5,7,TRUE
6773bcdecee988907232d78f,5,TRUE
677c2e825505ee77f65b0fed,8,TRUE
677cea851b45fb93eab1cf15,6,TRUE
6788da2a096d1243e779a70a,7,TRUE
678a32bdebf19fa0e56fa2a4,7,TRUE
67aa527deac4b628c7f51771,8,TRUE
67ab3f137992014f8fe5bb66,8,TRUE
67ab608b798c9ff1f3b2d6e5,8,TRUE
67b8636acd5ed420cc098b64,8,TRUE
67c048a816027b2413687ae6,7,TRUE
67c1ce78c21573ec238ef382,8,TRUE
67c7395392c9a85d7992b902,7,TRUE
67c864a2517623377115fe22,7,TRUE
67cabaafa9a01a59d19e31c5,8,TRUE
67cff38c059e74b343922ffa,6,TRUE
67d8699d1a52c2500c7a8fc2,7,TRUE
67da5ae29f57419143d2b99a,8,TRUE
67e12ee706882ac47d17abfd,7,TRUE
67e45e2d59b1494f02e7f164,7,TRUE
67e575f103799e89aacd209c,8,TRUE
67ee7e81aab6033ac314db9b,7,TRUE
67ef1e0dac7c1271496cf525,5,TRUE
67f66a2a233a5ea39edec113,8,TRUE
68138e7f96395f4c5f3a0a87,8,TRUE
